>GEOMETRY   rect_prism; AX,AY,AZ= 0.1800 0.1800 0.1800
     864 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -0.08500 -0.01000 -0.07500 = lattice offset x0(1-3) = (x_TF, y_TF, z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
     1  1  1  1 1 1 1
     2  1  1  2 1 1 1
     3  1  1  3 1 1 1
     4  1  1  4 1 1 1
     5  1  1  5 1 1 1
     6  1  1  6 1 1 1
     7  1  1  7 1 1 1
     8  1  1  8 1 1 1
     9  1  1  9 1 1 1
     10  1  1  10 1 1 1
     11  1  1  11 1 1 1
     12  1  1  12 1 1 1
     13  1  1  13 1 1 1
     14  1  1  14 1 1 1
     15  1  1  15 1 1 1
     16  1  1  16 1 1 1
     17  1  2  1 1 1 1
     18  1  2  2 1 1 1
     19  1  2  3 1 1 1
     20  1  2  4 1 1 1
     21  1  2  5 1 1 1
     22  1  2  6 1 1 1
     23  1  2  7 1 1 1
     24  1  2  8 1 1 1
     25  1  2  9 1 1 1
     26  1  2  10 1 1 1
     27  1  2  11 1 1 1
     28  1  2  12 1 1 1
     29  1  2  13 1 1 1
     30  1  2  14 1 1 1
     31  1  2  15 1 1 1
     32  1  2  16 1 1 1
     33  1  3  1 1 1 1
     34  1  3  2 1 1 1
     35  1  3  3 1 1 1
     36  1  3  4 1 1 1
     37  1  3  5 1 1 1
     38  1  3  6 1 1 1
     39  1  3  7 1 1 1
     40  1  3  8 1 1 1
     41  1  3  9 1 1 1
     42  1  3  10 1 1 1
     43  1  3  11 1 1 1
     44  1  3  12 1 1 1
     45  1  3  13 1 1 1
     46  1  3  14 1 1 1
     47  1  3  15 1 1 1
     48  1  3  16 1 1 1
     49  2  1  1 1 1 1
     50  2  1  2 1 1 1
     51  2  1  3 1 1 1
     52  2  1  4 1 1 1
     53  2  1  5 1 1 1
     54  2  1  6 1 1 1
     55  2  1  7 1 1 1
     56  2  1  8 1 1 1
     57  2  1  9 1 1 1
     58  2  1  10 1 1 1
     59  2  1  11 1 1 1
     60  2  1  12 1 1 1
     61  2  1  13 1 1 1
     62  2  1  14 1 1 1
     63  2  1  15 1 1 1
     64  2  1  16 1 1 1
     65  2  2  1 1 1 1
     66  2  2  2 1 1 1
     67  2  2  3 1 1 1
     68  2  2  4 1 1 1
     69  2  2  5 1 1 1
     70  2  2  6 1 1 1
     71  2  2  7 1 1 1
     72  2  2  8 1 1 1
     73  2  2  9 1 1 1
     74  2  2  10 1 1 1
     75  2  2  11 1 1 1
     76  2  2  12 1 1 1
     77  2  2  13 1 1 1
     78  2  2  14 1 1 1
     79  2  2  15 1 1 1
     80  2  2  16 1 1 1
     81  2  3  1 1 1 1
     82  2  3  2 1 1 1
     83  2  3  3 1 1 1
     84  2  3  4 1 1 1
     85  2  3  5 1 1 1
     86  2  3  6 1 1 1
     87  2  3  7 1 1 1
     88  2  3  8 1 1 1
     89  2  3  9 1 1 1
     90  2  3  10 1 1 1
     91  2  3  11 1 1 1
     92  2  3  12 1 1 1
     93  2  3  13 1 1 1
     94  2  3  14 1 1 1
     95  2  3  15 1 1 1
     96  2  3  16 1 1 1
     97  3  1  1 1 1 1
     98  3  1  2 1 1 1
     99  3  1  3 1 1 1
     100  3  1  4 1 1 1
     101  3  1  5 1 1 1
     102  3  1  6 1 1 1
     103  3  1  7 1 1 1
     104  3  1  8 1 1 1
     105  3  1  9 1 1 1
     106  3  1  10 1 1 1
     107  3  1  11 1 1 1
     108  3  1  12 1 1 1
     109  3  1  13 1 1 1
     110  3  1  14 1 1 1
     111  3  1  15 1 1 1
     112  3  1  16 1 1 1
     113  3  2  1 1 1 1
     114  3  2  2 1 1 1
     115  3  2  3 1 1 1
     116  3  2  4 1 1 1
     117  3  2  5 1 1 1
     118  3  2  6 1 1 1
     119  3  2  7 1 1 1
     120  3  2  8 1 1 1
     121  3  2  9 1 1 1
     122  3  2  10 1 1 1
     123  3  2  11 1 1 1
     124  3  2  12 1 1 1
     125  3  2  13 1 1 1
     126  3  2  14 1 1 1
     127  3  2  15 1 1 1
     128  3  2  16 1 1 1
     129  3  3  1 1 1 1
     130  3  3  2 1 1 1
     131  3  3  3 1 1 1
     132  3  3  4 1 1 1
     133  3  3  5 1 1 1
     134  3  3  6 1 1 1
     135  3  3  7 1 1 1
     136  3  3  8 1 1 1
     137  3  3  9 1 1 1
     138  3  3  10 1 1 1
     139  3  3  11 1 1 1
     140  3  3  12 1 1 1
     141  3  3  13 1 1 1
     142  3  3  14 1 1 1
     143  3  3  15 1 1 1
     144  3  3  16 1 1 1
     145  4  1  1 1 1 1
     146  4  1  2 1 1 1
     147  4  1  3 1 1 1
     148  4  1  4 1 1 1
     149  4  1  5 1 1 1
     150  4  1  6 1 1 1
     151  4  1  7 1 1 1
     152  4  1  8 1 1 1
     153  4  1  9 1 1 1
     154  4  1  10 1 1 1
     155  4  1  11 1 1 1
     156  4  1  12 1 1 1
     157  4  1  13 1 1 1
     158  4  1  14 1 1 1
     159  4  1  15 1 1 1
     160  4  1  16 1 1 1
     161  4  2  1 1 1 1
     162  4  2  2 1 1 1
